Word,Appearance Frequency,Meaning,Category,Search Count,Add Date,Importance,Done
replay,87,リプレイ,強化学習,5,2024-09-25,2,0.0
learning,85,学ぶ,強化学習,5,2024-09-25,2,1.0
transitions,59,遷移,強化学習,5,2024-09-25,2,0.0
more,45,もっと,強化学習,5,2024-09-25,2,1.0
prioritized,43,優先される,強化学習,4,2024-09-25,2,0.0
prioritization,39,優先順位,強化学習,4,2024-09-25,2,1.0
error,37,エラー,強化学習,4,2024-09-25,2,0.0
experience,34,経験,強化学習,4,2024-09-25,2,1.0
memory,34,メモリ,強化学習,4,2024-09-25,2,0.0
transition,33,遷移,強化学習,4,2024-09-25,2,1.0
paper,31,紙,強化学習,4,2024-09-28,1,0.0
conference,30,会議,強化学習,3,2024-09-28,1,1.0
rank,30,ランク,強化学習,3,2024-09-28,1,0.0
td,27,td,強化学習,3,2024-09-28,1,1.0
human,25,人間,強化学習,3,2024-09-28,1,0.0
double,24,ダブル,強化学習,3,2024-09-28,1,1.0
random,23,ランダム,強化学習,3,2024-09-28,1,1.0
value,21,価値,認知科学,3,2024-10-05,1,1.0
step,21,ステップ,強化学習,3,2024-09-28,1,0.0
function,20,関数,強化学習,3,2024-09-28,1,0.0
training,20,トレーニング,強化学習,3,2024-09-28,1,1.0
uniform,19,制服,強化学習,3,2024-09-28,1,0.0
agent,19,エージェント,強化学習,3,2024-09-28,1,1.0
performance,18,パフォーマンス,強化学習,3,2024-09-28,1,0.0
errors,18,エラー,強化学習,3,2024-09-28,1,1.0
priority,18,優先度,強化学習,3,2024-09-28,1,0.0
iclr,17,iclr,強化学習,3,2024-09-28,1,1.0
update,17,アップデート,強化学習,3,2024-09-28,1,0.0
replayed,17,再生,強化学習,3,2024-09-28,1,1.0
size,17,サイズ,強化学習,3,2024-09-28,1,0.0
proportional,17,比例する,強化学習,3,2024-09-28,1,1.0
deep,16,深い,強化学習,3,2024-09-28,1,0.0
only,16,のみ,強化学習,3,2024-09-28,1,1.0
depression,38,うつ,データ分析,5,2024-09-29,1,0.0
group,28,グループ,データ分析,5,2024-09-29,1,1.0
subjects,26,科目,データ分析,5,2024-09-29,1,0.0
symptoms,24,症状,データ分析,5,2024-09-29,1,1.0
features,23,特徴,データ分析,5,2024-09-29,1,0.0
using,22,使用して,強化学習,5,2024-09-29,1,1.0
groups,20,グループ,データ分析,4,2024-09-30,1,0.0
data,20,データ,認知科学,4,2024-10-05,1,1.0
mfcc,18,MFCC,データ分析,4,2024-09-30,1,0.0
scores,17,スコア,データ分析,4,2024-09-30,1,1.0
used,17,使用済み,データ分析,4,2024-09-30,1,0.0
study,17,勉強,データ分析,4,2024-09-30,1,1.0
mean,16,平均,データ分析,4,2024-09-30,1,0.0
speech,15,スピーチ,データ分析,4,2024-09-30,1,1.0
health,14,健康,データ分析,4,2024-09-30,1,0.0
severity,14,重大度,データ分析,4,2024-09-30,1,1.0
table,14,テーブル,データ分析,4,2024-09-30,1,0.0
acoustic,13,音響,データ分析,4,2024-09-30,1,1.0
frequency,13,頻度,データ分析,3,2024-09-30,1,0.0
formant,13,フォルマント,データ分析,3,2024-09-30,1,1.0
patients,12,患者,データ分析,3,2024-09-30,1,0.0
accuracy,12,正確さ,データ分析,3,2024-09-30,1,1.0
results,12,結果,強化学習,3,2024-10-01,1,0.0
shows,12,ショー,データ分析,3,2024-10-01,1,1.0
public,11,公共,データ分析,3,2024-10-01,1,0.0
depressive,11,憂鬱な,データ分析,3,2024-10-01,1,1.0
symptom,11,症状,データ分析,3,2024-10-01,1,0.0
voice,11,声,データ分析,3,2024-10-01,1,1.0
average,11,平均,データ分析,3,2024-10-01,1,0.0
clustering,10,クラスタリング,データ分析,3,2024-10-01,1,1.0
res,10,解像度,データ分析,3,2024-10-01,1,0.0
differences,10,違い,データ分析,3,2024-10-01,1,1.0
medication,10,薬,データ分析,3,2024-10-01,1,0.0
conducted,9,実施した,データ分析,3,2024-10-01,1,1.0
